path,type,size_bytes,lines,package,runtime_or_dev,imports_in_count,imports_out_count,public_symbols,entrypoint,dynamic_reference_risk,side_effect_on_import,network_access,filesystem_write,starts_thread_or_process,qt_dependency,tests_covering_file,responsibility,current_status,proposed_action,destination,confidence,evidence
.gitattributes,text,530,15,.gitattributes,repository,0,0,,,false,false,false,false,false,false,,Repository support or data file.,active_or_unconfirmed,KEEP,,0.75,No confirmed replacement or deletion evidence.
.gitignore,text,5491,233,.gitignore,repository,0,0,,,false,false,true,false,false,false,,Repository support or data file.,active_or_unconfirmed,KEEP,,0.75,No confirmed replacement or deletion evidence.
.vscode/launch.json,configuration,296,13,.vscode,dev,0,0,,,false,false,false,false,false,false,,Repository support or data file.,active_or_unconfirmed,REVIEW_PUBLIC_API,,0.80,Developer-local editor configuration.
.vscode/settings.json,configuration,67,3,.vscode,dev,0,0,,,false,false,false,false,false,false,,Repository support or data file.,active_or_unconfirmed,REVIEW_PUBLIC_API,,0.80,Developer-local editor configuration.
CHANGELOG.md,documentation,2055,46,CHANGELOG.md,repository,0,0,,,false,false,false,false,false,false,,Repository support or data file.,compatibility_risk,REFACTOR_IN_PLACE,,0.72,Contains compatibility/legacy/deprecation markers.
LICENSE,text,1105,21,LICENSE,repository,0,0,,,false,false,false,false,false,false,,Project licence.,active_or_unconfirmed,KEEP,,0.75,No confirmed replacement or deletion evidence.
README.md,documentation,5727,175,README.md,repository,0,0,,,false,false,false,false,false,false,,"Project overview, installation and supported operations.",active_or_unconfirmed,KEEP,,0.75,No confirmed replacement or deletion evidence.
TODO.md,documentation,11822,235,TODO.md,repository,0,0,,,false,false,false,false,false,false,,Repository support or data file.,active_or_unconfirmed,KEEP,,0.75,No confirmed replacement or deletion evidence.
TODO_PHOTOMETRIC.md,documentation,34132,319,TODO_PHOTOMETRIC.md,repository,0,0,,,false,false,false,false,false,false,,Repository support or data file.,compatibility_risk,REFACTOR_IN_PLACE,,0.72,Contains compatibility/legacy/deprecation markers.
TODO_light_pollution.md,documentation,4818,94,TODO_light_pollution.md,repository,0,0,,,false,false,false,false,false,false,,Repository support or data file.,active_or_unconfirmed,KEEP,,0.75,No confirmed replacement or deletion evidence.
TODO_refactor.md,documentation,10077,148,TODO_refactor.md,repository,0,0,,,false,false,false,false,false,false,,Repository support or data file.,compatibility_risk,REFACTOR_IN_PLACE,,0.72,Contains compatibility/legacy/deprecation markers.
TerraLab/NOTES.md,documentation,1403,40,TerraLab,runtime,0,0,,,false,false,false,false,false,false,,TerraLab NOTES.md runtime.,active_or_unconfirmed,KEEP,,0.75,No confirmed replacement or deletion evidence.
TerraLab/README.md,documentation,1587,37,TerraLab,runtime,0,0,,,false,false,false,false,false,false,,TerraLab README.md runtime.,active_or_unconfirmed,KEEP,,0.75,No confirmed replacement or deletion evidence.
TerraLab/__init__.py,python,21,1,TerraLab,runtime,2,0,,,false,false,false,false,false,false,tests/architecture/__init__.py;tests/architecture/test_boundaries.py;tests/architecture/test_import_safety.py;tests/architecture/test_mvc_file_roles.py;tests/cli/test_entrypoints.py;tests/common/test_cache.py;tests/common/test_cancellation.py;tests/common/test_exception_reporting.py;tests/common/test_performance_budget.py;tests/data/test_gaia_process_pipeline.py;tests/data/test_star_colours.py;tests/light_pollution/test_processing.py;tests/terrain/test_asc_cache.py;tests/terrain/test_bands.py;tests/terrain/test_elevation_query.py;tests/terrain/test_raster_windows.py;tests/terrain/test_tile_index.py;tests/terrain/test_vectorized_raycast.py;tests/test_adaptive_sampling.py;tests/test_assets_manager_data_sources.py;tests/test_astro_rendering.py;tests/test_bake_process_atomic_save.py;tests/test_compact_control_layout.py;tests/test_config.py;tests/test_copernicus_asset_integration.py;tests/test_copernicus_orthophoto.py;tests/test_copernicus_orthophoto_dialog.py;tests/test_data_layers_ui_contract.py;tests/test_data_library.py;tests/test_data_sources.py;tests/test_deprecated_registry.py;tests/test_design_system.py;tests/test_diffuse_coords.py;tests/test_diffuse_noise.py;tests/test_ephemeris_coordinator.py;tests/test_gaia_manifest_resolution.py;tests/test_geospatial_providers.py;tests/test_horizon_baker_coverage.py;tests/test_horizon_worker_bortle.py;tests/test_light_pollution_modes.py;tests/test_light_pollution_sampler_crs.py;tests/test_light_pollution_sampler_spatial.py;tests/test_light_pollution_typed_chain.py;tests/test_milky_way.py;tests/test_morell_puig_den_cama.py;tests/test_offscreen_functional_regressions.py;tests/test_onboarding_dem_autolocation.py;tests/test_onboarding_first_run.py;tests/test_packaging_contract.py;tests/test_process_canvas_interactions.py;tests/test_providers.py;tests/test_qt_lifecycle.py;tests/test_ray_precision.py;tests/test_recovered_sky_features.py;tests/test_runtime_process_isolation.py;tests/test_s2glc_download.py;tests/test_s2glc_land_cover.py;tests/test_scope_ui_manager.py;tests/test_search_engine.py;tests/test_spherical_math.py;tests/test_star_data_coordinator.py;tests/test_surface_lod_cache.py;tests/test_surface_mode_switch.py;tests/test_telescope_runtime.py;tests/test_terrain_render_pipeline.py;tests/test_terrain_representation.py;tests/test_terrain_surface_render.py;tests/test_terrain_visibility_range.py;tests/test_tile_cache_load_safety.py;tests/test_tile_manifest.py;tests/test_visual_magnitude_engine.py;tests/test_worker_data_sources.py,TerraLab __init__.py runtime.,active_or_unconfirmed,REVIEW_PUBLIC_API,,0.85,Package public surface must be verified before changes.
TerraLab/__main__.py,python,5258,165,TerraLab,runtime,0,7,build_parser;continue_after_load_failure;main;run,terralab,true,true,false,false,false,true,tests/cli/test_entrypoints.py,TerraLab desktop application entry point.,compatibility_risk,REFACTOR_IN_PLACE,,0.72,Contains compatibility/legacy/deprecation markers. Potential top-level runtime call detected. 1 broad exception handlers.
TerraLab/assets/ES.csv,csv,11917841,87062,TerraLab.assets,runtime,0,0,,,false,false,false,false,false,false,,TerraLab assets runtime.,compatibility_risk,SPLIT,,0.90,Productive module has 87062 lines (>800 target).
TerraLab/assets/FR.csv,csv,25305850,174238,TerraLab.assets,runtime,0,0,,,false,false,true,false,false,false,,TerraLab assets runtime.,compatibility_risk,SPLIT,,0.90,Productive module has 174238 lines (>800 target).
TerraLab/assets/PT.csv,csv,4630519,38296,TerraLab.assets,runtime,0,0,,,false,false,false,false,false,false,,TerraLab assets runtime.,compatibility_risk,SPLIT,,0.90,Productive module has 38296 lines (>800 target).
TerraLab/assets/horizon_profile.npz,binary,12852,0,TerraLab.assets,runtime,0,0,,,false,false,false,false,false,false,,TerraLab assets runtime.,active_or_unconfirmed,REVIEW_BINARY,,0.90,Binary/data asset requires consumer and packaging review.
TerraLab/astro/README.md,documentation,362,9,TerraLab.astro,runtime,0,0,,,false,false,false,false,false,false,,TerraLab astro runtime.,active_or_unconfirmed,KEEP,,0.75,No confirmed replacement or deletion evidence.
TerraLab/astro/__init__.py,python,0,0,TerraLab.astro,runtime,0,0,,,false,false,false,false,false,false,tests/architecture/test_boundaries.py;tests/terrain/test_elevation_query.py;tests/terrain/test_vectorized_raycast.py;tests/test_assets_manager_data_sources.py;tests/test_astro_rendering.py;tests/test_bake_process_atomic_save.py;tests/test_copernicus_asset_integration.py;tests/test_copernicus_orthophoto.py;tests/test_copernicus_orthophoto_dialog.py;tests/test_data_layers_ui_contract.py;tests/test_ephemeris_coordinator.py;tests/test_geospatial_providers.py;tests/test_horizon_baker_coverage.py;tests/test_horizon_worker_bortle.py;tests/test_light_pollution_modes.py;tests/test_light_pollution_sampler_crs.py;tests/test_offscreen_functional_regressions.py;tests/test_process_canvas_interactions.py;tests/test_recovered_sky_features.py;tests/test_s2glc_download.py;tests/test_scope_ui_manager.py;tests/test_search_engine.py;tests/test_surface_mode_switch.py;tests/test_terrain_representation.py;tests/test_worker_data_sources.py,TerraLab astro runtime.,active_or_unconfirmed,REVIEW_PUBLIC_API,,0.85,Package public surface must be verified before changes.
TerraLab/astro/engine.py,python,14074,425,TerraLab.astro,runtime,1,0,AstroEngine,,false,false,false,false,false,false,tests/test_search_engine.py,Analytical astronomical calculations used by sky rendering.,active_or_unconfirmed,KEEP,,0.75,No confirmed replacement or deletion evidence.
TerraLab/astro/ephemeris_coordinator.py,python,13015,369,TerraLab.astro,runtime,5,1,EphemerisCoordinator;planet_apparent_magnitude;snapshot_datetime_utc;snapshot_matches_utc_context;utc_datetime_from_context,,true,false,true,true,true,true,tests/test_ephemeris_coordinator.py;tests/test_offscreen_functional_regressions.py;tests/test_qt_lifecycle.py;tests/test_recovered_sky_features.py,Coordinador d'efemerides astronomiques. Calcula snapshots de sol/lluna/planetes fora del cami de render.,compatibility_risk,REFACTOR_IN_PLACE,,0.72,Contains compatibility/legacy/deprecation markers. 4 broad exception handlers.
TerraLab/astro/ngc_catalog.py,python,11369,386,TerraLab.astro,runtime,5,1,NGCObject;iter_ngc_aliases;load_ngc_catalog;ngc_display_label,,true,false,false,true,false,false,tests/test_assets_manager_data_sources.py;tests/test_astro_rendering.py;tests/test_data_library.py;tests/test_search_engine.py,OpenNGC catalog loader and alias helpers used by search/overlay.,compatibility_risk,REFACTOR_IN_PLACE,,0.72,Contains compatibility/legacy/deprecation markers. 7 broad exception handlers.
TerraLab/astro/search_engine.py,python,12747,372,TerraLab.astro,runtime,2,3,AstroSearchEngine;build_search_index_for_widget;center_on_object_for_widget;ensure_widget_search_engine;load_named_star_entries;load_ngc_entries;on_search_triggered_for_widget,,true,true,false,false,false,false,tests/test_search_engine.py,"Search index helpers for planets, stars and NGC objects.",compatibility_risk,REFACTOR_IN_PLACE,,0.72,Contains compatibility/legacy/deprecation markers. Potential top-level runtime call detected. 4 broad exception handlers.
TerraLab/cli/README.md,documentation,301,7,TerraLab.cli,runtime,0,0,,,false,false,false,false,false,false,,TerraLab cli runtime.,active_or_unconfirmed,KEEP,,0.75,No confirmed replacement or deletion evidence.
