path,type,size_bytes,lines,package,runtime_or_dev,imports_in_count,imports_out_count,public_symbols,entrypoint,dynamic_reference_risk,side_effect_on_import,network_access,filesystem_write,starts_thread_or_process,qt_dependency,tests_covering_file,responsibility,current_status,proposed_action,destination,confidence,evidence
.gitattributes,text,530,15,.gitattributes,repository,0,0,,,false,false,false,false,false,false,,Repository support or data file.,active_or_unconfirmed,KEEP,,0.75,No confirmed replacement or deletion evidence.
.gitignore,text,5467,233,.gitignore,repository,0,0,,,false,false,true,false,false,false,,Repository support or data file.,active_or_unconfirmed,KEEP,,0.75,No confirmed replacement or deletion evidence.
.ui-smoke-appdata-hardening-2/TerraLab/config/config.json,configuration,2278,71,.ui-smoke-appdata-hardening-2,repository,0,0,,,false,false,true,false,false,false,,Repository support or data file.,active_or_unconfirmed,KEEP,,0.75,No confirmed replacement or deletion evidence.
.ui-smoke-appdata-hardening/TerraLab/config/config.json,configuration,2278,71,.ui-smoke-appdata-hardening,repository,0,0,,,false,false,true,false,false,false,,Repository support or data file.,active_or_unconfirmed,KEEP,,0.75,No confirmed replacement or deletion evidence.
.ui-smoke-data-hardening-2/config/data_sources.json,configuration,1988,75,.ui-smoke-data-hardening-2,repository,0,0,,,false,false,false,false,false,false,,Repository support or data file.,active_or_unconfirmed,KEEP,,0.75,No confirmed replacement or deletion evidence.
.ui-smoke-data-hardening-2/terralab-data.json,configuration,187,8,.ui-smoke-data-hardening-2,repository,0,0,,,false,false,false,false,false,false,,Repository support or data file.,active_or_unconfirmed,KEEP,,0.75,No confirmed replacement or deletion evidence.
.ui-smoke-data-hardening/config/data_sources.json,configuration,1988,75,.ui-smoke-data-hardening,repository,0,0,,,false,false,false,false,false,false,,Repository support or data file.,active_or_unconfirmed,KEEP,,0.75,No confirmed replacement or deletion evidence.
.ui-smoke-data-hardening/terralab-data.json,configuration,185,8,.ui-smoke-data-hardening,repository,0,0,,,false,false,false,false,false,false,,Repository support or data file.,active_or_unconfirmed,KEEP,,0.75,No confirmed replacement or deletion evidence.
.vscode/launch.json,configuration,306,13,.vscode,dev,0,0,,,false,false,false,false,false,false,,Repository support or data file.,active_or_unconfirmed,REVIEW_PUBLIC_API,,0.80,Developer-local editor configuration.
.vscode/settings.json,configuration,67,3,.vscode,dev,0,0,,,false,false,false,false,false,false,,Repository support or data file.,active_or_unconfirmed,REVIEW_PUBLIC_API,,0.80,Developer-local editor configuration.
CHANGELOG.md,documentation,2055,46,CHANGELOG.md,repository,0,0,,,false,false,false,false,false,false,,Repository support or data file.,compatibility_risk,REFACTOR_IN_PLACE,,0.72,Contains compatibility/legacy/deprecation markers.
